[[2, 5, 7], [3, 5], [4, 5, 7], [6, 7]]
[0, 14, 42, 49, 17, 43, 9, 18, 44, 51, 53, 54]
[0, 40, 16, 42, 49, 17, 43, 50, 52, 9, 18, 51]
[0, 10, 14, 16, 17, 43, 50, 18, 44, 51, 53, 54]
[0, 10, 14, 40, 16, 43, 50, 18, 44, 51, 53, 54]
[1, 5, 14, 40, 7, 8, 17, 50, 52, 9, 18, 51]
[1, 5, 14, 40, 7, 42, 8, 17, 43, 52, 9, 51]
[1, 5, 14, 40, 7, 42, 49, 8, 17, 52, 9, 44]
[1, 5, 7, 16, 8, 17, 43, 9, 18, 44, 51, 54]
[1, 5, 7, 16, 42, 49, 8, 17, 43, 50, 9, 54]
[1, 5, 7, 16, 42, 8, 17, 50, 9, 44, 51, 54]
[1, 5, 14, 7, 42, 8, 17, 43, 50, 52, 18, 44]
[1, 5, 14, 7, 42, 49, 8, 17, 50, 52, 18, 51]
[1, 5, 40, 7, 16, 49, 8, 17, 50, 44, 51, 54]
[1, 5, 40, 7, 42, 49, 8, 43, 52, 18, 44, 51]
[1, 5, 14, 7, 16, 42, 17, 50, 52, 9, 18, 51]
[1, 5, 40, 7, 16, 42, 43, 52, 9, 18, 44, 51]
[1, 5, 40, 7, 42, 17, 43, 9, 18, 44, 51, 54]
[1, 5, 14, 40, 7, 16, 17, 43, 50, 52, 18, 44]
[1, 5, 14, 40, 7, 16, 49, 17, 50, 52, 18, 51]
[1, 5, 14, 40, 7, 16, 42, 49, 17, 43, 52, 51]
[1, 5, 14, 40, 16, 42, 8, 17, 43, 50, 9, 54]
[1, 5, 14, 40, 49, 8, 43, 52, 9, 18, 44, 51]
[1, 5, 14, 40, 42, 49, 8, 50, 52, 9, 44, 51]
[1, 5, 14, 16, 42, 8, 17, 43, 18, 44, 51, 54]
[1, 5, 40, 42, 49, 8, 17, 43, 50, 52, 18, 44]
[1, 5, 14, 16, 42, 49, 43, 52, 9, 18, 44, 51]
[1, 5, 14, 42, 49, 17, 43, 9, 18, 44, 51, 54]
[1, 5, 40, 16, 42, 17, 43, 50, 52, 9, 18, 44]
[1, 5, 40, 16, 42, 49, 17, 50, 52, 9, 18, 51]
[1, 14, 7, 16, 49, 8, 50, 52, 9, 18, 53, 54]
[1, 14, 7, 16, 42, 49, 8, 43, 52, 9, 53, 54]
[1, 14, 7, 16, 42, 8, 52, 9, 44, 51, 53, 54]
[1, 40, 7, 16, 42, 49, 8, 52, 9, 18, 44, 51]
[1, 7, 16, 42, 49, 8, 43, 52, 9, 18, 44, 51]
[1, 40, 7, 16, 49, 8, 43, 50, 52, 9, 44, 51]
[1, 14, 40, 7, 16, 42, 8, 50, 52, 18, 53, 54]
[1, 14, 40, 7, 16, 49, 8, 52, 44, 51, 53, 54]
[1, 14, 40, 7, 42, 49, 50, 52, 9, 18, 53, 54]
[1, 14, 7, 49, 43, 50, 52, 18, 44, 51, 53, 54]
[1, 14, 40, 16, 42, 8, 43, 52, 9, 18, 44, 51]
[1, 40, 16, 42, 49, 8, 52, 9, 44, 51, 53, 54]
[1, 14, 40, 16, 42, 49, 8, 43, 50, 52, 44, 51]
[1, 16, 42, 8, 43, 50, 52, 18, 44, 51, 53, 54]
[1, 42, 49, 43, 50, 52, 9, 18, 44, 51, 53, 54]
[10, 5, 14, 40, 7, 16, 8, 17, 9, 18, 51, 54]
[10, 5, 14, 40, 7, 16, 42, 8, 9, 18, 44, 53]
[10, 5, 14, 40, 7, 16, 8, 43, 50, 9, 44, 53]
[10, 5, 14, 40, 7, 16, 49, 8, 50, 9, 51, 53]
[10, 5, 7, 16, 8, 17, 43, 9, 18, 44, 51, 53]
[10, 5, 7, 16, 42, 49, 8, 17, 43, 50, 9, 53]
[10, 5, 7, 16, 42, 8, 17, 50, 9, 44, 51, 53]
[10, 5, 7, 16, 42, 49, 8, 43, 9, 18, 51, 53]
[10, 5, 14, 7, 16, 42, 8, 17, 43, 18, 44, 54]
[10, 5, 14, 7, 16, 42, 49, 8, 17, 18, 51, 54]
[10, 5, 14, 7, 16, 49, 8, 17, 43, 50, 51, 54]
[10, 5, 14, 7, 16, 42, 49, 8, 43, 50, 44, 53]
[10, 5, 40, 7, 16, 49, 8, 17, 50, 44, 51, 53]
[10, 5, 40, 7, 16, 42, 49, 8, 43, 50, 44, 53]
[10, 5, 14, 7, 42, 49, 17, 43, 9, 18, 44, 54]
[10, 5, 40, 7, 42, 17, 43, 9, 18, 44, 51, 53]
[10, 5, 14, 40, 7, 42, 49, 17, 43, 50, 51, 54]
[10, 5, 14, 40, 16, 42, 8, 17, 43, 50, 9, 53]
[10, 5, 14, 40, 16, 42, 8, 43, 9, 18, 51, 53]
[10, 5, 14, 40, 16, 42, 49, 8, 9, 18, 44, 53]
[10, 5, 14, 40, 16, 49, 8, 43, 50, 9, 44, 53]
[10, 5, 16, 42, 49, 8, 17, 43, 50, 9, 51, 54]
[10, 5, 14, 16, 42, 8, 17, 43, 18, 44, 51, 53]
[10, 5, 40, 16, 42, 49, 8, 17, 43, 18, 44, 54]
[10, 5, 14, 42, 49, 17, 43, 9, 18, 44, 51, 53]
[10, 14, 40, 7, 42, 8, 43, 50, 52, 9, 18, 44]
[10, 14, 40, 7, 42, 49, 8, 50, 52, 9, 18, 51]
[10, 14, 40, 7, 8, 43, 52, 9, 18, 51, 53, 54]
[10, 14, 40, 7, 49, 8, 52, 9, 18, 44, 53, 54]
[10, 14, 40, 7, 42, 8, 50, 52, 9, 51, 53, 54]
[10, 40, 7, 42, 49, 8, 43, 50, 52, 9, 18, 51]
[10, 14, 7, 42, 49, 8, 43, 52, 18, 51, 53, 54]
[10, 14, 40, 7, 16, 42, 49, 43, 9, 18, 44, 53]
[10, 14, 7, 16, 42, 43, 52, 9, 18, 51, 53, 54]
[10, 14, 7, 16, 42, 49, 52, 9, 18, 44, 53, 54]
[10, 14, 7, 16, 49, 43, 50, 52, 9, 44, 53, 54]
[10, 14, 40, 7, 16, 42, 49, 43, 50, 52, 18, 44]
[10, 14, 40, 7, 16, 49, 43, 52, 18, 51, 53, 54]
[10, 14, 40, 7, 16, 42, 43, 50, 52, 44, 53, 54]
[10, 14, 40, 7, 16, 42, 49, 50, 52, 51, 53, 54]
[10, 40, 16, 42, 49, 43, 52, 9, 18, 51, 53, 54]
[0, 1, 5, 14, 7, 42, 8, 43, 52, 9, 18, 44, 53]
[0, 1, 5, 14, 7, 42, 49, 8, 52, 9, 18, 51, 53]
[0, 1, 5, 14, 7, 49, 8, 43, 50, 52, 9, 51, 53]
[0, 1, 5, 14, 40, 7, 49, 8, 43, 52, 18, 44, 53]
[0, 1, 5, 14, 40, 7, 42, 8, 43, 50, 52, 51, 53]
[0, 1, 5, 14, 40, 7, 42, 49, 8, 50, 52, 44, 53]
[0, 1, 5, 14, 40, 7, 16, 43, 52, 9, 18, 44, 53]
[0, 1, 5, 14, 40, 7, 16, 49, 52, 9, 18, 51, 53]
[0, 1, 5, 14, 40, 7, 16, 42, 50, 52, 9, 44, 53]
[0, 1, 5, 14, 7, 16, 42, 49, 43, 52, 18, 44, 53]
[0, 1, 5, 40, 42, 49, 8, 43, 52, 9, 18, 44, 53]
[0, 1, 14, 7, 8, 17, 43, 50, 9, 18, 44, 51, 54]
[0, 1, 40, 7, 16, 49, 8, 17, 43, 52, 9, 18, 54]
[0, 1, 40, 7, 16, 8, 17, 52, 9, 18, 44, 51, 54]
[0, 1, 40, 7, 16, 42, 49, 8, 17, 50, 52, 9, 54]
[0, 1, 7, 16, 42, 49, 8, 43, 50, 52, 9, 44, 54]
[0, 1, 7, 16, 42, 8, 43, 50, 52, 9, 44, 51, 54]
[0, 1, 7, 16, 42, 49, 8, 17, 52, 18, 44, 51, 54]
[0, 1, 7, 16, 49, 8, 17, 43, 50, 52, 44, 51, 54]
[0, 1, 40, 7, 16, 42, 49, 8, 43, 52, 18, 51, 54]
[0, 1, 40, 7, 16, 42, 49, 8, 52, 18, 44, 51, 54]
[0, 1, 40, 7, 16, 8, 43, 50, 52, 18, 44, 51, 54]
[0, 1, 40, 7, 16, 49, 8, 43, 50, 52, 44, 51, 54]
[0, 1, 14, 40, 7, 16, 42, 49, 17, 50, 9, 18, 54]
[0, 1, 40, 7, 49, 43, 50, 52, 9, 18, 44, 51, 54]
[0, 1, 14, 7, 16, 49, 17, 43, 50, 18, 44, 51, 54]
[0, 1, 40, 7, 42, 49, 17, 43, 50, 52, 44, 51, 54]
[0, 1, 14, 16, 49, 8, 17, 52, 9, 18, 44, 51, 54]
[0, 1, 14, 40, 16, 42, 49, 8, 50, 52, 9, 18, 54]
[0, 1, 14, 40, 16, 49, 8, 43, 52, 9, 18, 51, 54]
[0, 1, 14, 40, 16, 49, 8, 52, 9, 18, 44, 51, 54]
[0, 1, 14, 40, 16, 42, 8, 43, 50, 52, 9, 44, 54]
[0, 1, 14, 40, 16, 42, 49, 8, 50, 52, 9, 51, 54]
[0, 1, 40, 49, 8, 17, 43, 50, 9, 18, 44, 51, 54]
[0, 1, 14, 40, 16, 42, 49, 8, 17, 43, 52, 18, 54]
[0, 1, 14, 40, 16, 42, 8, 17, 52, 18, 44, 51, 54]
[0, 1, 14, 40, 16, 8, 17, 43, 50, 52, 44, 51, 54]
[0, 1, 14, 16, 49, 8, 43, 50, 52, 18, 44, 51, 54]
[0, 1, 14, 40, 42, 49, 17, 52, 9, 18, 44, 51, 54]
[0, 1, 14, 40, 49, 17, 43, 50, 52, 9, 44, 51, 54]
[0, 1, 16, 42, 49, 17, 43, 50, 9, 18, 44, 51, 54]
[0, 1, 14, 40, 42, 49, 43, 50, 52, 18, 44, 51, 54]
[0, 10, 5, 14, 7, 16, 8, 43, 9, 18, 51, 53, 54]
[0, 10, 5, 14, 7, 16, 49, 8, 9, 18, 44, 53, 54]
[0, 10, 5, 14, 7, 16, 42, 8, 50, 9, 51, 53, 54]
[0, 10, 5, 14, 40, 7, 42, 8, 17, 9, 51, 53, 54]
[0, 10, 5, 14, 40, 7, 8, 50, 52, 9, 18, 51, 54]
[0, 10, 5, 14, 40, 7, 42, 8, 43, 52, 9, 51, 54]
[0, 10, 5, 14, 40, 7, 42, 49, 8, 52, 9, 44, 54]
[0, 5, 40, 7, 49, 8, 17, 43, 50, 52, 9, 18, 44]
[0, 10, 5, 14, 40, 7, 16, 42, 8, 18, 44, 53, 54]
[0, 10, 5, 14, 40, 7, 16, 8, 43, 50, 44, 53, 54]
[0, 10, 5, 14, 40, 7, 16, 49, 8, 50, 51, 53, 54]
[0, 10, 5, 14, 7, 42, 8, 17, 50, 18, 44, 53, 54]
[0, 10, 5, 14, 7, 42, 8, 43, 50, 52, 18, 44, 54]
[0, 10, 5, 14, 7, 42, 49, 8, 50, 52, 18, 51, 54]
[0, 10, 5, 14, 7, 16, 49, 17, 43, 9, 44, 53, 54]
[0, 10, 5, 14, 7, 16, 42, 50, 52, 9, 18, 51, 54]
[0, 10, 5, 14, 40, 7, 42, 43, 9, 18, 51, 53, 54]
[0, 10, 5, 14, 40, 7, 42, 49, 9, 18, 44, 53, 54]
[0, 10, 5, 14, 40, 7, 49, 43, 50, 9, 44, 53, 54]
[0, 5, 7, 16, 42, 49, 17, 43, 50, 52, 9, 18, 44]
[0, 10, 5, 14, 40, 7, 16, 17, 50, 18, 44, 53, 54]
[0, 10, 5, 14, 40, 7, 16, 42, 17, 43, 44, 53, 54]
[0, 10, 5, 14, 40, 7, 16, 42, 49, 17, 51, 53, 54]
[0, 10, 5, 14, 40, 7, 16, 43, 50, 52, 18, 44, 54]
[0, 10, 5, 14, 40, 7, 16, 49, 50, 52, 18, 51, 54]
[0, 10, 5, 14, 40, 7, 16, 42, 49, 43, 52, 51, 54]
[0, 10, 5, 40, 16, 49, 8, 43, 9, 18, 51, 53, 54]
[0, 10, 5, 40, 16, 42, 8, 43, 50, 9, 44, 53, 54]
[0, 10, 5, 40, 16, 42, 49, 8, 50, 9, 51, 53, 54]
[0, 10, 5, 49, 8, 17, 43, 50, 9, 18, 51, 53, 54]
[0, 10, 5, 40, 42, 8, 17, 43, 50, 18, 51, 53, 54]
[0, 10, 5, 40, 42, 49, 8, 17, 50, 18, 44, 53, 54]
[0, 10, 5, 40, 42, 49, 8, 43, 50, 52, 18, 44, 54]
[0, 5, 14, 40, 42, 49, 8, 17, 43, 50, 52, 18, 44]
[0, 10, 5, 40, 16, 42, 17, 50, 9, 18, 44, 53, 54]
[0, 10, 5, 40, 16, 42, 43, 50, 52, 9, 18, 44, 54]
[0, 10, 5, 40, 16, 42, 49, 50, 52, 9, 18, 51, 54]
[0, 5, 14, 40, 16, 42, 17, 43, 50, 52, 9, 18, 44]
[0, 5, 14, 40, 16, 42, 49, 17, 50, 52, 9, 18, 51]
[0, 10, 40, 7, 16, 42, 8, 43, 50, 52, 9, 18, 53]
[0, 10, 40, 7, 16, 49, 8, 43, 52, 9, 44, 51, 53]
[0, 10, 7, 16, 42, 49, 8, 43, 50, 9, 44, 53, 54]
[0, 10, 40, 7, 8, 43, 50, 52, 9, 18, 44, 51, 54]
[0, 14, 40, 7, 16, 8, 17, 43, 9, 18, 51, 53, 54]
[0, 14, 40, 7, 16, 49, 8, 17, 9, 18, 44, 53, 54]
[0, 14, 40, 7, 16, 42, 8, 17, 50, 9, 51, 53, 54]
[0, 7, 16, 42, 49, 8, 17, 43, 50, 52, 9, 44, 54]
[0, 10, 40, 7, 16, 42, 49, 8, 43, 18, 51, 53, 54]
[0, 10, 40, 7, 16, 8, 43, 50, 18, 44, 51, 53, 54]
[0, 10, 40, 7, 42, 49, 8, 17, 50, 18, 44, 51, 54]
[0, 10, 7, 42, 49, 8, 43, 50, 52, 18, 44, 51, 54]
[0, 14, 7, 16, 42, 49, 8, 17, 43, 18, 51, 53, 54]
[0, 14, 40, 7, 42, 49, 8, 17, 43, 50, 18, 51, 53]
[0, 40, 7, 16, 42, 49, 8, 17, 43, 52, 18, 51, 54]
[0, 10, 40, 7, 16, 42, 49, 17, 43, 50, 9, 18, 54]
[0, 10, 40, 7, 16, 42, 17, 50, 9, 18, 44, 51, 54]
[0, 10, 7, 16, 42, 43, 50, 52, 9, 18, 44, 51, 54]
[0, 10, 40, 7, 49, 43, 50, 9, 18, 44, 51, 53, 54]
[0, 14, 40, 7, 16, 42, 17, 43, 50, 9, 18, 51, 53]
[0, 14, 40, 7, 16, 42, 49, 17, 50, 9, 18, 44, 53]
[0, 10, 40, 7, 16, 49, 43, 50, 52, 18, 44, 51, 54]
[0, 10, 14, 40, 16, 42, 49, 8, 50, 9, 18, 53, 54]
[0, 10, 14, 40, 16, 49, 8, 43, 9, 18, 51, 53, 54]
[0, 10, 14, 16, 42, 49, 8, 43, 50, 52, 9, 18, 53]
[0, 10, 14, 16, 42, 8, 50, 52, 9, 18, 44, 51, 53]
[0, 10, 14, 40, 16, 42, 8, 43, 50, 9, 44, 53, 54]
[0, 10, 14, 40, 16, 42, 49, 8, 50, 9, 51, 53, 54]
[0, 10, 14, 40, 49, 8, 17, 50, 9, 18, 44, 51, 54]
[0, 10, 14, 40, 42, 49, 8, 17, 43, 9, 44, 51, 54]
[0, 10, 14, 49, 8, 43, 50, 52, 9, 18, 44, 51, 54]
[0, 14, 40, 16, 49, 8, 17, 43, 52, 9, 18, 51, 54]
[0, 14, 40, 16, 42, 8, 17, 43, 50, 52, 9, 44, 54]
[0, 14, 40, 16, 42, 49, 8, 17, 50, 52, 9, 51, 54]
[0, 10, 14, 40, 16, 49, 8, 50, 52, 18, 44, 51, 53]
[0, 10, 14, 16, 49, 8, 43, 50, 18, 44, 51, 53, 54]
[0, 10, 14, 40, 16, 42, 49, 8, 43, 52, 44, 51, 53]
[0, 10, 14, 40, 42, 8, 43, 50, 52, 18, 44, 51, 54]
[0, 10, 14, 16, 42, 49, 17, 50, 9, 18, 44, 51, 54]
[0, 10, 14, 40, 42, 49, 43, 50, 18, 44, 51, 53, 54]
[1, 10, 5, 14, 7, 16, 42, 8, 50, 52, 9, 18, 44]
[1, 10, 5, 7, 42, 49, 8, 43, 9, 18, 51, 53, 54]
[1, 5, 14, 40, 7, 42, 8, 43, 50, 52, 9, 18, 44]
[1, 5, 14, 40, 7, 42, 49, 8, 50, 52, 9, 18, 51]
[1, 5, 14, 7, 42, 49, 8, 43, 50, 52, 9, 18, 51]
[1, 5, 14, 7, 42, 49, 8, 52, 9, 18, 44, 51, 53]
[1, 5, 14, 7, 49, 8, 43, 50, 52, 9, 44, 51, 53]
[1, 10, 5, 14, 40, 7, 16, 8, 43, 50, 52, 18, 51]
[1, 10, 5, 14, 40, 7, 16, 49, 8, 50, 52, 18, 44]
[1, 10, 5, 14, 40, 7, 16, 42, 49, 8, 43, 52, 44]
[1, 10, 5, 40, 7, 42, 49, 8, 43, 50, 44, 53, 54]
[1, 5, 14, 40, 7, 42, 8, 43, 50, 52, 44, 51, 53]
[1, 10, 5, 14, 40, 7, 49, 43, 50, 52, 9, 18, 51]
[1, 10, 5, 40, 7, 16, 49, 43, 9, 18, 51, 53, 54]
[1, 10, 5, 40, 7, 16, 42, 43, 50, 9, 44, 53, 54]
[1, 10, 5, 40, 7, 16, 42, 49, 50, 9, 51, 53, 54]
[1, 5, 14, 40, 7, 16, 49, 43, 50, 52, 9, 18, 51]
[1, 5, 14, 40, 7, 16, 49, 52, 9, 18, 44, 51, 53]
[1, 5, 14, 40, 7, 16, 42, 49, 43, 50, 52, 18, 44]
[1, 10, 5, 14, 40, 42, 8, 43, 9, 18, 51, 53, 54]
[1, 10, 5, 14, 40, 42, 49, 8, 9, 18, 44, 53, 54]
[1, 10, 5, 14, 40, 49, 8, 43, 50, 9, 44, 53, 54]
[1, 10, 5, 40, 16, 42, 8, 43, 50, 52, 9, 18, 51]
[1, 10, 5, 40, 16, 42, 49, 8, 50, 52, 9, 18, 44]
[1, 10, 5, 14, 16, 42, 49, 43, 50, 9, 44, 53, 54]
[1, 10, 5, 14, 40, 16, 42, 49, 43, 18, 51, 53, 54]
[1, 10, 14, 40, 7, 16, 42, 8, 50, 52, 9, 18, 54]
[1, 10, 14, 40, 7, 16, 49, 8, 52, 9, 44, 51, 54]
[1, 40, 7, 16, 42, 49, 8, 43, 50, 52, 9, 18, 51]
[1, 10, 14, 7, 16, 8, 43, 50, 52, 18, 44, 51, 54]
[1, 14, 40, 7, 42, 49, 8, 17, 43, 50, 52, 18, 51]
[1, 10, 14, 7, 49, 43, 50, 52, 9, 18, 44, 51, 54]
[1, 14, 40, 7, 16, 42, 17, 43, 50, 52, 9, 18, 51]
[1, 14, 40, 7, 16, 42, 49, 17, 50, 52, 9, 18, 44]
[1, 10, 14, 40, 7, 42, 43, 50, 52, 18, 44, 51, 54]
[1, 10, 16, 42, 8, 43, 50, 52, 9, 18, 44, 51, 54]
[1, 14, 40, 16, 42, 49, 8, 17, 43, 50, 9, 51, 54]
[1, 10, 40, 16, 49, 8, 43, 50, 52, 18, 44, 51, 54]
[10, 5, 14, 40, 7, 16, 8, 17, 43, 9, 18, 51, 53]
[10, 5, 14, 40, 7, 16, 49, 8, 17, 9, 18, 44, 53]
[10, 5, 14, 40, 7, 16, 42, 8, 17, 50, 9, 51, 53]
[10, 5, 14, 40, 7, 16, 49, 8, 50, 52, 9, 44, 51]
[10, 5, 40, 7, 16, 8, 17, 43, 9, 18, 44, 51, 54]
[10, 5, 40, 7, 16, 42, 49, 8, 17, 43, 50, 9, 54]
[10, 5, 40, 7, 16, 42, 8, 17, 50, 9, 44, 51, 54]
[10, 5, 40, 7, 16, 42, 49, 8, 52, 9, 18, 44, 51]
[10, 5, 7, 16, 42, 8, 43, 50, 52, 9, 18, 44, 53]
[10, 5, 7, 16, 42, 49, 8, 50, 52, 9, 18, 51, 53]
[10, 5, 40, 7, 16, 49, 8, 43, 50, 52, 9, 44, 51]
[10, 5, 14, 7, 16, 42, 49, 8, 17, 43, 18, 51, 53]
[10, 5, 7, 16, 42, 49, 8, 17, 43, 18, 44, 51, 54]
[10, 5, 40, 7, 16, 49, 8, 43, 50, 52, 18, 44, 53]
[10, 5, 14, 16, 49, 8, 17, 43, 9, 18, 44, 51, 54]
[10, 5, 14, 16, 42, 49, 8, 17, 50, 9, 44, 51, 54]
[10, 5, 14, 40, 16, 42, 8, 50, 52, 9, 18, 51, 53]
[10, 5, 14, 16, 42, 8, 43, 50, 9, 18, 44, 51, 53]
[10, 5, 14, 40, 16, 42, 8, 17, 43, 18, 44, 51, 54]
[10, 5, 14, 40, 16, 49, 8, 43, 50, 18, 44, 51, 53]
[10, 5, 14, 40, 16, 42, 49, 8, 43, 50, 52, 44, 51]
[10, 5, 14, 40, 42, 49, 17, 43, 9, 18, 44, 51, 54]
[10, 14, 7, 42, 49, 8, 43, 50, 9, 18, 44, 51, 53]
[10, 40, 7, 42, 49, 8, 43, 50, 9, 18, 44, 51, 53]
[10, 14, 40, 7, 16, 49, 43, 50, 9, 18, 44, 51, 53]
[0, 1, 10, 5, 14, 40, 7, 8, 43, 52, 9, 18, 44, 51]
[0, 1, 10, 5, 14, 40, 7, 8, 43, 52, 9, 18, 51, 54]
[0, 1, 10, 5, 14, 40, 7, 49, 8, 52, 9, 18, 44, 54]
[0, 1, 10, 5, 14, 40, 7, 42, 49, 8, 43, 50, 52, 9]
[0, 1, 10, 5, 14, 40, 7, 42, 8, 50, 52, 9, 44, 51]
[0, 1, 10, 5, 14, 40, 7, 42, 8, 50, 52, 9, 51, 54]
[0, 1, 5, 14, 7, 16, 49, 8, 50, 52, 9, 18, 53, 54]
[0, 1, 5, 14, 7, 16, 42, 49, 8, 43, 52, 9, 53, 54]
[0, 1, 5, 14, 7, 16, 42, 8, 52, 9, 44, 51, 53, 54]
[0, 1, 5, 14, 40, 7, 49, 8, 17, 43, 50, 9, 18, 54]
[0, 1, 5, 14, 40, 7, 8, 17, 50, 9, 18, 44, 51, 54]
[0, 1, 5, 14, 40, 7, 42, 8, 17, 43, 9, 44, 51, 54]
[0, 1, 5, 14, 7, 49, 8, 43, 50, 52, 9, 18, 44, 54]
[0, 1, 5, 14, 7, 8, 43, 50, 52, 9, 18, 44, 51, 54]
[0, 1, 5, 40, 7, 16, 8, 17, 43, 52, 9, 18, 51, 54]
[0, 1, 5, 40, 7, 16, 49, 8, 17, 52, 9, 18, 44, 54]
[0, 1, 5, 40, 7, 16, 42, 8, 17, 50, 52, 9, 51, 54]
[0, 1, 10, 5, 14, 7, 42, 49, 8, 43, 52, 18, 44, 51]
[0, 1, 10, 5, 14, 7, 42, 49, 8, 43, 52, 18, 51, 54]
[0, 1, 5, 14, 40, 7, 16, 42, 8, 50, 52, 18, 53, 54]
[0, 1, 5, 14, 40, 7, 16, 49, 8, 52, 44, 51, 53, 54]
[0, 1, 5, 14, 7, 42, 49, 8, 17, 50, 18, 44, 51, 54]
[0, 1, 5, 14, 40, 7, 42, 8, 43, 50, 52, 18, 44, 54]
[0, 1, 5, 14, 40, 7, 42, 49, 8, 50, 52, 18, 51, 54]
[0, 1, 5, 7, 16, 42, 49, 8, 17, 43, 52, 18, 51, 54]
[0, 1, 10, 5, 14, 7, 16, 42, 43, 52, 9, 18, 44, 51]
[0, 1, 10, 5, 14, 7, 16, 42, 43, 52, 9, 18, 51, 54]
[0, 1, 10, 5, 14, 7, 16, 42, 49, 52, 9, 18, 44, 54]
[0, 1, 10, 5, 14, 7, 16, 49, 43, 50, 52, 9, 44, 54]
[0, 1, 5, 14, 7, 16, 42, 49, 17, 43, 50, 9, 18, 54]
[0, 1, 5, 14, 7, 16, 42, 17, 50, 9, 18, 44, 51, 54]
[0, 1, 5, 14, 40, 7, 16, 42, 49, 50, 52, 9, 18, 54]
[0, 1, 5, 14, 40, 7, 16, 42, 50, 52, 9, 18, 51, 54]
[0, 1, 5, 14, 40, 7, 42, 49, 50, 52, 9, 18, 53, 54]
[0, 1, 10, 5, 14, 40, 7, 16, 49, 43, 52, 18, 44, 51]
[0, 1, 10, 5, 14, 40, 7, 16, 49, 43, 52, 18, 51, 54]
[0, 1, 10, 5, 14, 40, 7, 16, 42, 43, 50, 52, 44, 54]
[0, 1, 10, 5, 14, 40, 7, 16, 42, 49, 50, 52, 44, 51]
[0, 1, 10, 5, 14, 40, 7, 16, 42, 49, 50, 52, 51, 54]
[0, 1, 5, 14, 40, 7, 16, 49, 17, 50, 18, 44, 51, 54]
[0, 1, 5, 14, 40, 7, 16, 42, 49, 17, 43, 44, 51, 54]
[0, 1, 5, 14, 7, 16, 49, 43, 50, 52, 18, 44, 51, 54]
[0, 1, 5, 14, 7, 49, 43, 50, 52, 18, 44, 51, 53, 54]
[0, 1, 5, 14, 16, 49, 8, 17, 43, 52, 9, 18, 51, 54]
[0, 1, 5, 14, 16, 42, 8, 17, 43, 50, 52, 9, 44, 54]
[0, 1, 5, 14, 16, 42, 49, 8, 17, 50, 52, 9, 51, 54]
[0, 1, 5, 40, 16, 42, 49, 8, 52, 9, 44, 51, 53, 54]
[0, 1, 5, 40, 49, 8, 43, 50, 52, 9, 18, 44, 51, 54]
[0, 1, 5, 14, 40, 16, 42, 8, 17, 43, 52, 18, 51, 54]
[0, 1, 5, 14, 40, 16, 42, 49, 8, 17, 52, 18, 44, 54]
[0, 1, 5, 14, 40, 16, 49, 8, 17, 43, 50, 52, 44, 54]
[0, 1, 5, 16, 42, 8, 43, 50, 52, 18, 44, 51, 53, 54]
[0, 1, 10, 5, 40, 16, 42, 49, 43, 52, 9, 18, 44, 51]
[0, 1, 10, 5, 40, 16, 42, 49, 43, 52, 9, 18, 51, 54]
[0, 1, 5, 14, 40, 42, 49, 17, 43, 52, 9, 18, 51, 54]
[0, 1, 5, 40, 16, 42, 49, 17, 50, 9, 18, 44, 51, 54]
[0, 1, 5, 16, 42, 49, 43, 50, 52, 9, 18, 44, 51, 54]
[0, 1, 5, 42, 49, 43, 50, 52, 9, 18, 44, 51, 53, 54]
[0, 1, 10, 7, 16, 49, 8, 43, 50, 9, 18, 44, 53, 54]
[0, 1, 10, 40, 7, 16, 42, 8, 43, 50, 18, 44, 53, 54]
[0, 1, 10, 40, 7, 16, 42, 49, 8, 50, 18, 44, 51, 53]
[0, 1, 10, 40, 7, 16, 42, 49, 8, 50, 18, 51, 53, 54]
[0, 1, 10, 40, 7, 42, 49, 43, 50, 9, 18, 44, 53, 54]
[0, 1, 10, 14, 40, 16, 8, 43, 50, 9, 18, 44, 53, 54]
[0, 1, 10, 14, 40, 16, 49, 8, 50, 9, 18, 44, 51, 53]
[0, 1, 10, 14, 40, 16, 49, 8, 50, 9, 18, 51, 53, 54]
[0, 1, 10, 14, 40, 16, 42, 49, 8, 43, 9, 44, 51, 53]
[0, 1, 10, 14, 40, 16, 42, 49, 8, 43, 9, 51, 53, 54]
[0, 1, 10, 14, 16, 42, 49, 8, 43, 50, 18, 44, 53, 54]
[0, 10, 5, 14, 40, 7, 16, 8, 43, 52, 9, 18, 51, 54]
[0, 10, 5, 14, 40, 7, 16, 49, 8, 52, 9, 18, 44, 54]
[0, 10, 5, 14, 40, 7, 16, 42, 8, 50, 52, 9, 51, 54]
[0, 10, 5, 14, 7, 8, 17, 43, 50, 9, 18, 44, 51, 54]
[0, 10, 5, 14, 40, 7, 8, 43, 52, 9, 18, 51, 53, 54]
[0, 10, 5, 14, 40, 7, 49, 8, 52, 9, 18, 44, 53, 54]
[0, 10, 5, 14, 7, 8, 43, 50, 9, 18, 44, 51, 53, 54]
[0, 10, 5, 14, 40, 7, 42, 8, 50, 52, 9, 51, 53, 54]
[0, 10, 5, 14, 7, 42, 8, 43, 50, 9, 44, 51, 53, 54]
[0, 10, 5, 14, 7, 16, 42, 49, 8, 43, 52, 18, 51, 54]
[0, 10, 5, 14, 40, 7, 42, 49, 8, 18, 44, 51, 53, 54]
